DRIVER_ID,VEHICLE_ID,DISTANCE_MTRS_GPS,AgeRange,Gender,VehicleClass,LocationCode,Accel_Measure,Deccel_Measure,LatPos_Measure,LatNeg_Measure
1,1918,31777499.43,45-49,Female,SUV/Crossover,Indiana,10.7447095,62.30823807,59.69506833,45.15899695
2,139,9039851.663,30-34,Male,Car,North Carolina,46.77952867,50.33710917,88.35543212,53.31060928
4,875,4450396.014,65-69,Did not specify,Van/Minivan,Florida,6.43538236,4.278270954,24.55511817,11.32483488
6,2382,1437011.596,75-79,Male,SUV/Crossover,New York,9.130058543,12.47032386,101.9894345,18.26011709
